filename,width,height,class,xmin,ymin,xmax,ymax
1530138880.png,640,360,robot,232,120,332,300
1530143392.png,640,360,uav,339,62,563,242
1532745488.png,640,360,fire alarm,196,121,388,215
1532746729.png,640,360,fire alarm,391,113,551,233
1532920125.png,640,360,tennis racket,116,78,216,176
1532920131.png,640,360,tennis racket,313,131,393,239
1522977656.png,640,360,coffee machine,234,118,378,278
1522982705.png,640,360,potted plant,140,1,380,150
1522977345.png,640,360,coffee machine,264,158,336,258
1522979186.png,640,360,coffee machine,229,144,309,252
1522973671.png,640,360,Christmas toy,234,91,334,241
1532748063.png,640,360,fire alarm,311,160,481,260
1522981676.png,640,360,tissue box,184,214,328,314
1522979646.png,640,360,coffee machine,177,82,311,274
1530144991.png,640,360,turtle bot,197,31,421,331
1522981627.png,640,360,tissue box,270,223,414,323
1530144513.png,640,360,turtle bot,439,107,529,269
1532745563.png,640,360,fire alarm,286,154,416,226
1530140291.png,640,360,robot,274,165,374,299
1530140079.png,640,360,robot,231,52,471,322
1530141917.png,640,360,uav,144,109,504,289
1522977644.png,641,361,coffee machine,225,64,369,224
1522982665.png,640,360,potted plant,256,225,356,333
1532745572.png,640,360,fire alarm,314,110,454,192
1530139551.png,640,360,robot,243,67,423,337
1530144852.png,640,360,turtle bot,189,115,309,275
1530139705.png,640,360,robot,217,35,409,323
1522973632.png,640,360,Christmas toy,175,72,303,288
1522975274.png,640,360,Christmas toy,240,110,348,230
1522979190.png,640,360,coffee machine,294,155,374,263
1530137688.png,640,360,soccer ball,350,187,440,283
1522977764.png,640,360,coffee machine,192,118,336,278
1522981499.png,640,360,tissue box,245,158,353,292
1532750002.png,640,360,fire alarm,335,241,415,291
1530143951.png,640,360,uav,183,73,503,253
1530140290.png,640,360,robot,273,162,373,296
1530137430.png,640,360,soccer ball,350,146,458,266
1522981496.png,640,360,tissue box,246,162,354,296
1522982181.png,640,360,potted plant,221,212,365,346
1522982808.png,640,360,potted plant,158,201,302,359
1522977584.png,640,360,coffee machine,283,100,411,260
1530138162.png,640,360,soccer ball,294,183,390,279
1532750154.png,640,360,fire alarm,392,131,472,195
1530139060.png,640,360,robot,264,128,354,272
1532749234.png,640,360,fire alarm,303,178,393,250
1530143677.png,640,360,uav,176,53,476,309
1522975262.png,640,360,Christmas toy,250,174,358,294
1530138176.png,640,360,soccer ball,368,184,464,280
1532746054.png,640,360,fire alarm,255,119,389,187
1522981444.png,640,360,tissue box,207,181,387,325
1532750106.png,640,360,fire alarm,279,169,369,243
1522979616.png,640,360,coffee machine,395,76,529,268
1530142386.png,640,360,uav,92,64,452,244
1530138913.png,640,360,robot,213,154,321,298
1530144879.png,640,360,turtle bot,336,118,456,278
1530143417.png,640,360,uav,304,74,504,266
1532749279.png,640,360,fire alarm,247,160,327,216
1532920269.png,640,360,tennis racket,257,20,287,200
1522982765.png,640,360,potted plant,331,154,441,290
1532920253.png,640,360,tennis racket,371,82,441,262
1522981591.png,640,360,tissue box,183,194,317,322
1532919682.png,640,360,tennis racket,364,154,428,298
1532919683.png,640,360,tennis racket,320,139,384,283
1522974846.png,640,360,Christmas toy,163,184,283,304
1522981421.png,640,360,tissue box,240,166,420,310
1522982811.png,640,360,potted plant,281,113,425,305
1522981637.png,640,360,tissue box,260,218,404,318
1530141997.png,640,360,uav,167,82,455,298
1522979493.png,640,360,coffee machine,238,134,346,254
1522979141.png,640,360,coffee machine,297,130,377,238
1532920275.png,640,360,tennis racket,222,93,292,273
1532920440.png,640,360,tennis racket,296,183,406,257
1532745453.png,640,360,fire alarm,249,76,441,200
1530142024.png,640,360,uav,167,84,467,264
1530138870.png,640,360,robot,190,121,290,301
1532919857.png,640,360,tennis racket,240,182,384,262
1522975020.png,640,360,Christmas toy,295,158,429,302
1530142269.png,640,360,uav,262,111,478,291
1530144433.png,640,360,turtle bot,160,40,340,290
1530139076.png,640,360,robot,343,136,433,280
1522981402.png,640,360,tissue box,173,182,353,316
1522977366.png,640,360,coffee machine,261,196,333,296
1532919754.png,640,360,tennis racket,245,159,379,223
1530142186.png,640,360,uav,282,99,522,291
1532919686.png,640,360,tennis racket,331,124,405,288
1530140070.png,640,360,robot,140,45,380,315
1530144954.png,640,360,turtle bot,253,52,453,292
1522979640.png,640,360,coffee machine,182,94,316,286
1530140295.png,640,360,robot,293,166,393,300
1530140149.png,640,360,robot,271,68,395,260
1530143383.png,640,360,uav,338,110,562,290
1530139818.png,640,360,robot,266,104,394,296
1522982821.png,640,360,potted plant,265,110,409,281
1530138175.png,640,360,soccer ball,354,187,450,283
1530137957.png,640,360,soccer ball,289,188,361,262
1522981882.png,640,360,potted plant,224,193,300,262
1522979131.png,640,360,coffee machine,257,140,365,284
1522979548.png,640,360,coffee machine,268,104,376,228
1522981374.png,640,360,tissue box,266,215,410,335
1530145099.png,640,360,turtle bot,183,57,383,297
1530139680.png,640,360,robot,296,129,476,329
1532920473.png,640,360,tennis racket,304,92,424,172
1532750217.png,640,360,fire alarm,353,268,443,324
1522982307.png,640,360,potted plant,237,242,359,358
1522975188.png,640,360,Christmas toy,239,169,373,289
1530139058.png,640,360,robot,223,120,313,264
1530142158.png,640,360,uav,261,94,477,294
1532750023.png,640,360,fire alarm,411,265,487,315
1522982208.png,640,360,potted plant,263,184,367,291
1522975269.png,640,360,Christmas toy,194,144,302,264
1530141928.png,640,360,uav,121,143,481,323
1522982626.png,640,360,potted plant,191,227,315,351
1522975261.png,640,360,Christmas toy,283,136,391,256
1522982274.png,640,360,potted plant,220,275,318,359
1522974970.png,640,360,Christmas toy,314,158,442,292
1532919761.png,640,360,tennis racket,272,167,406,231
1530140264.png,640,360,robot,236,132,308,228
1530139678.png,640,360,robot,311,149,491,349
1530145048.png,640,360,turtle bot,201,91,361,291
1530138330.png,640,360,soccer ball,443,199,497,247
1532920164.png,640,360,tennis racket,260,174,394,224
1530137713.png,640,360,soccer ball,259,169,349,259
1530142388.png,640,360,uav,83,67,443,247
1530144865.png,640,360,turtle bot,247,125,367,285
1522981905.png,640,360,potted plant,232,181,299,245
1530138915.png,640,360,robot,230,136,338,280
1530143740.png,640,360,uav,197,138,453,318
1532919782.png,640,360,tennis racket,278,122,412,196
1530142555.png,640,360,uav,183,105,423,225
1530137705.png,640,360,soccer ball,274,163,364,253
1532746750.png,640,360,fire alarm,295,187,475,307
1522975080.png,640,360,Christmas toy,210,186,318,346
1522981515.png,640,360,tissue box,242,128,422,252
1522979466.png,640,360,coffee machine,100,110,280,270
1530142762.png,640,360,uav,245,46,485,286
1522973684.png,640,360,Christmas toy,234,71,334,221
1522979157.png,640,360,coffee machine,266,159,346,267
1522975003.png,640,360,Christmas toy,182,178,316,322
1530137685.png,640,360,soccer ball,344,185,434,281
1522981566.png,640,360,tissue box,261,165,369,285
1532919540.png,640,360,tennis racket,341,133,411,273
1530139033.png,640,360,robot,164,149,284,329
1522981926.png,640,360,potted plant,250,158,353,243
1522982428.png,640,360,potted plant,290,86,410,230
1530138910.png,640,360,robot,189,143,297,287
1522981616.png,640,360,tissue box,173,221,317,321
1530140146.png,640,360,robot,245,56,369,248
1522979396.png,640,360,coffee machine,197,125,341,285
1530138976.png,640,360,robot,266,151,356,285
1522981059.png,640,360,tissue box,257,158,347,266
1532919735.png,640,360,tennis racket,274,214,408,278
1530144325.png,640,360,turtle bot,315,77,435,293
1522974938.png,640,360,Christmas toy,235,139,369,283
1530143872.png,640,360,uav,221,66,401,200
1530138232.png,640,360,soccer ball,346,154,390,190
1530143981.png,640,360,uav,85,44,445,172
1532748053.png,640,360,fire alarm,339,190,439,314
1522979390.png,640,360,coffee machine,240,128,384,288
1522975260.png,640,360,Christmas toy,274,127,382,247
1522975195.png,640,360,Christmas toy,252,142,386,262
1530144365.png,640,360,turtle bot,282,39,442,289
1522975045.png,640,360,Christmas toy,187,198,321,342
1522974874.png,640,360,Christmas toy,306,135,366,225
1530139026.png,640,360,robot,273,160,393,340
1522981508.png,640,360,tissue box,189,177,369,301
1530143976.png,640,360,uav,130,115,490,243
1532749251.png,640,360,fire alarm,317,154,467,266
1530137928.png,640,360,soccer ball,286,170,346,224
1530137920.png,640,360,soccer ball,240,182,300,236
1530138985.png,640,360,robot,208,164,298,298
1530145097.png,640,360,turtle bot,234,46,434,286
