image_name,xmin,xmax,ymin,ymax,class_id
1530137682.png,289,379,186,282,6
1522981626.png,259,403,269,359,4
1530137410.png,249,357,120,240,6
1522982295.png,292,412,220,351,3
1530142055.png,270,430,109,349,8
1530137577.png,260,380,103,211,6
1530137428.png,356,464,154,274,6
1530139546.png,183,363,64,334,5
1522979165.png,261,341,132,240,2
1532746017.png,166,280,145,225,9
1522977395.png,266,346,196,292,2
1522979592.png,216,350,80,272,2
1522982706.png,186,393,1,180,3
1522982357.png,280,588,17,357,3
1522977764.png,192,336,118,278,2
1522982223.png,198,288,205,314,3
1530143721.png,177,417,68,212,8
1530143945.png,172,492,78,258,8
1522977704.png,233,377,108,268,2
1522979172.png,285,365,147,255,2
1522975132.png,194,290,140,274,1
1522982675.png,1,100,247,359,3
1530139067.png,301,391,120,264,5
1522979197.png,294,374,189,297,2
1532745572.png,314,454,110,192,9
1522979478.png,249,357,87,207,2
1522977640.png,255,399,90,250,2
1530138310.png,387,441,166,214,6
1530138169.png,269,365,193,289,6
1530145051.png,233,393,98,298,7
1530137757.png,269,349,68,148,6
1530138984.png,260,350,185,319,5
1532748591.png,339,369,163,217,9
1530142371.png,170,386,114,330,8
1532748113.png,192,266,135,199,9
1532746754.png,383,563,129,249,9
1522981509.png,242,422,162,286,4
1532748083.png,303,427,108,182,9
1532920490.png,463,583,163,243,10
1522982179.png,413,557,172,306,3
1530137296.png,366,516,174,294,6
1532750137.png,313,383,181,225,9
1530144512.png,422,512,108,270,7
1522982412.png,185,325,174,318,3
1532746734.png,374,554,136,256,9
1532920127.png,87,167,189,297,10
1522979610.png,150,284,84,276,2
1530137431.png,342,450,154,274,6
1530144525.png,355,445,60,240,7
1522981042.png,246,336,149,257,4
1530142573.png,235,505,151,311,8
1522982408.png,183,293,135,269,3
1530141995.png,186,474,95,311,8
1532920174.png,252,406,255,295,10
1530137835.png,300,360,133,193,6
1522977647.png,242,386,89,249,2
1530140153.png,285,409,76,268,5
1532745464.png,198,376,112,236,9
1522974788.png,202,322,158,286,1
1522982811.png,281,425,113,305,3
1530137288.png,276,426,136,256,6
1530138853.png,234,334,115,295,5
1522982781.png,220,345,124,270,3
1530144541.png,389,479,78,258,7
1522974783.png,350,470,167,295,1
1532919496.png,96,166,140,290,10
1530142137.png,174,398,35,259,8
1532919518.png,334,414,105,245,10
1530144401.png,290,434,75,325,7
1530138384.png,390,498,188,308,6
1522977703.png,178,322,102,262,2
1530144990.png,172,396,20,320,7
1522975024.png,235,369,208,352,1
1530137311.png,222,402,144,304,6
1522979176.png,272,352,126,234,2
1530144899.png,251,351,67,283,7
1522975195.png,252,386,142,262,1
1530143529.png,245,487,86,278,8
1530140315.png,199,399,100,324,5
1530144513.png,439,529,107,269,7
1530142167.png,377,593,109,309,8
1530143740.png,197,453,138,318,8
1530143506.png,179,371,201,325,8
1522981515.png,242,422,128,252,4
1532919747.png,388,522,154,228,10
1522974876.png,303,363,132,222,1
1530138857.png,182,282,136,316,5
1530140226.png,277,437,108,270,5
1530138863.png,197,297,107,287,5
1530138851.png,230,330,88,268,5
1532746761.png,267,441,107,227,9
1530142566.png,173,443,122,282,8
1522981027.png,296,386,154,262,4
1532920178.png,55,189,150,200,10
1530137499.png,322,456,143,287,6
1522975173.png,256,390,151,271,1
1532920168.png,147,291,66,116,10
1522981474.png,217,325,164,298,4
1522977733.png,259,403,110,270,2
1522979505.png,237,345,123,243,2
1530139567.png,277,457,32,302,5
1532920148.png,363,463,180,288,10
1522981520.png,242,422,172,296,4
1522981901.png,231,345,209,299,3
1530137633.png,387,515,172,292,6
1532748628.png,415,489,124,198,9
1522982637.png,264,398,205,339,3
1530144505.png,410,500,109,271,7
1530138260.png,361,405,165,201,6
1530140288.png,266,366,165,299,5
1530140264.png,236,308,132,228,5
1530143913.png,164,452,81,273,8
1522977770.png,231,375,143,303,2
1522979661.png,174,308,100,292,2
1522974995.png,213,357,195,345,1
1522981304.png,250,358,205,301,4
1532746694.png,128,308,101,231,9
1532750169.png,265,305,175,209,9
1522981881.png,220,302,188,255,3
1530139021.png,289,409,161,341,5
1522975040.png,241,375,167,311,1
1532750008.png,246,316,271,331,9
1522975083.png,199,307,189,349,1
1522981565.png,243,351,163,283,4
1532746715.png,331,511,124,244,9
1530142115.png,180,436,71,195,8
1530144587.png,299,419,71,251,7
1530144424.png,136,316,39,289,7
1530142369.png,158,374,59,275,8
1522975121.png,273,369,163,297,1
1530138336.png,372,426,219,267,6
1530144405.png,225,369,75,325,7
1530139671.png,247,427,115,315,5
1530137880.png,238,318,164,236,6
1530137829.png,213,273,232,292,6
1530144322.png,302,422,61,277,7
1522981021.png,260,350,155,263,4
1522977689.png,200,344,108,268,2
1522981646.png,194,338,226,326,4
1530144961.png,244,444,84,324,7
1522982622.png,235,369,223,357,3
1522981533.png,243,423,189,313,4
1530137924.png,258,318,198,252,6
1522981326.png,273,381,211,307,4
1530138263.png,331,375,176,212,6
1532748478.png,262,502,66,210,9
1522981591.png,183,317,194,322,4
1530144460.png,290,434,66,266,7
1522982895.png,168,288,147,271,3
1530144879.png,336,456,118,278,7
1522977695.png,333,477,84,244,2
1530138944.png,225,345,145,325,5
1532919513.png,355,435,127,287,10
1522982671.png,317,437,226,334,3
1530137580.png,284,404,115,223,6
1530142024.png,167,467,84,264,8
1530137297.png,364,514,200,320,6
1530143389.png,354,578,70,250,8
1532748474.png,292,532,53,207,9
1530144473.png,348,492,47,247,7
1530137959.png,334,406,207,281,6
1522975266.png,257,365,125,245,1
1522977342.png,404,476,134,234,2
1522973784.png,368,440,135,207,1
1522960498.png,253,353,139,283,1
1530139057.png,236,326,111,255,5
1530142278.png,234,450,130,310,8
1532919694.png,405,459,112,266,10
1532748582.png,272,308,203,239,9
1532746076.png,277,440,173,273,9
1530143869.png,208,388,83,217,8
1522982842.png,228,402,150,337,3
1530143140.png,145,465,166,359,8
1530139397.png,222,342,159,287,5
1530140096.png,189,349,85,301,5
1532919930.png,191,431,136,250,10
1532920186.png,342,466,93,143,10
1522981671.png,206,350,223,323,4
1532749272.png,309,449,168,264,9
1530144485.png,341,485,57,257,7
1522975002.png,174,308,194,338,1
1530139595.png,256,390,11,281,5
1522981594.png,227,361,209,337,4
1530138256.png,321,365,162,198,6
1530138178.png,344,440,198,294,6
1522981612.png,239,383,224,324,4
1530140161.png,343,467,89,281,5
1530137373.png,301,501,82,298,6
1530143902.png,83,371,61,253,8
1522979458.png,178,358,120,280,2
1532750020.png,296,396,277,347,9
1532920128.png,135,205,215,313,10
1522981421.png,240,420,166,310,4
1530140193.png,203,395,78,294,5
1530144398.png,136,280,66,316,7
1532919772.png,312,446,158,222,10
