image_name,xmin,xmax,ymin,ymax,class_id
1522977749.png,184,328,105,265,2
1522979396.png,197,341,125,285,2
1522977562.png,260,380,70,270,2
1522979117.png,283,391,151,295,2
1522979658.png,187,321,94,286,2
1522979127.png,257,365,134,278,2
1522979191.png,298,378,136,244,2
1522979121.png,251,359,147,291,2
1522977679.png,232,376,112,272,2
1522979284.png,305,429,106,286,2
1522979378.png,284,428,120,280,2
1522977768.png,243,387,101,261,2
1522979193.png,186,266,174,282,2
1522979615.png,349,483,81,273,2
1522977759.png,235,379,115,275,2
1522979563.png,241,349,78,202,2
1522977438.png,251,331,194,290,2
1522977689.png,200,344,108,268,2
1522977761.png,213,357,120,280,2
1522977657.png,246,390,60,220,2
1522977582.png,255,383,104,264,2
1522977617.png,301,445,109,269,2
1522979594.png,211,345,94,286,2
1522979616.png,395,529,76,268,2
1522977678.png,232,376,87,247,2
1522977344.png,255,327,149,249,2
1522977547.png,228,348,92,292,2
1522979633.png,227,361,109,301,2
1522977453.png,290,370,205,301,2
1522979499.png,302,410,123,243,2
1522977404.png,252,332,215,311,2
1522977713.png,284,428,111,271,2
1522979152.png,296,376,126,234,2
1522977429.png,241,321,227,323,2
1522979162.png,253,333,142,250,2
1522979533.png,375,465,122,242,2
1522977681.png,171,315,91,251,2
1522979567.png,283,391,102,226,2
1522977546.png,237,357,91,291,2
1522977631.png,275,419,103,263,2
1522977412.png,228,308,202,298,2
1522979596.png,259,393,105,297,2
1522979625.png,194,328,149,341,2
1522977525.png,34,130,110,234,2
1522979166.png,272,352,133,241,2
1522979167.png,291,371,141,249,2
1522979387.png,268,412,88,248,2
1522979268.png,198,332,126,306,2
1522979189.png,295,375,178,286,2
1522977620.png,297,441,95,255,2
1522977615.png,264,408,103,263,2
1522979199.png,263,343,200,308,2
1522979149.png,365,445,118,226,2
1522977526.png,248,344,142,266,2
1522979653.png,173,307,87,279,2
1522979649.png,137,271,84,276,2
1522977697.png,245,389,112,272,2
1522979606.png,249,383,88,280,2
1522979169.png,300,380,141,249,2
1522979493.png,238,346,134,254,2
1522977731.png,268,412,95,255,2
1522977415.png,230,310,194,290,2
1522979384.png,248,392,119,279,2
1522979630.png,240,374,90,282,2
1522979113.png,318,426,147,291,2
1522979647.png,206,340,82,274,2
1522979311.png,241,365,158,338,2
1522979500.png,305,413,116,236,2
1522979304.png,160,284,183,363,2
1522979602.png,153,287,119,311,2
1522979650.png,136,270,72,264,2
1522977674.png,227,371,124,284,2
1522979548.png,268,376,104,228,2
1522977446.png,259,339,211,307,2
1522979557.png,261,369,139,263,2
1522977622.png,287,431,98,258,2
1522977350.png,211,283,152,252,2
1522979310.png,213,337,135,315,2
1522977729.png,178,322,80,240,2
1522979510.png,221,329,149,269,2
1522977736.png,260,404,85,245,2
1522977398.png,223,303,205,301,2
1522979561.png,214,322,113,237,2
1522979168.png,293,373,159,267,2
1522977735.png,296,440,141,301,2
1522977733.png,259,403,110,270,2
1522979125.png,252,360,136,280,2
1522977771.png,321,465,102,262,2
1522979538.png,248,356,124,248,2
1522979129.png,231,339,138,282,2
1522979682.png,247,381,74,266,2
1522977419.png,284,364,196,292,2
1522977345.png,264,336,158,258,2
1522979507.png,272,380,108,228,2
1522979637.png,163,297,100,292,2
1522977683.png,215,359,97,257,2
1522977741.png,261,405,90,250,2
1522979566.png,259,367,102,226,2
1522979159.png,250,330,149,257,2
1522979177.png,318,398,146,254,2
1522977685.png,167,311,100,260,2
1522979173.png,267,347,120,228,2
1522979614.png,276,410,46,238,2
1522979175.png,263,343,140,248,2
1522979585.png,276,410,85,277,2
1522977401.png,276,356,195,291,2
1522979263.png,301,445,127,307,2
1522979164.png,274,354,140,248,2
1522979477.png,222,330,119,239,2
1522979558.png,266,374,112,236,2
1522979119.png,282,390,159,303,2
1522977454.png,301,381,196,292,2
1522979285.png,314,438,121,301,2
1522977347.png,254,326,148,248,2
1522979299.png,267,391,126,306,2
1522977646.png,160,304,97,257,2
1522977695.png,333,477,84,244,2
1522979393.png,188,332,114,274,2
1522979140.png,294,374,139,247,2
1522977355.png,262,334,174,254,2
1522979509.png,252,360,154,274,2
1522979144.png,284,364,156,264,2
1522979176.png,272,352,126,234,2
1522977727.png,135,279,108,268,2
1522977529.png,256,352,132,256,2
1522977718.png,183,327,84,244,2
1522979461.png,171,351,81,241,2
1522979611.png,136,270,70,262,2
1522979496.png,268,376,126,246,2
1522977626.png,264,408,103,263,2
1522977359.png,265,337,187,287,2
1522979544.png,227,335,89,213,2
1522979502.png,239,347,147,267,2
1522977751.png,185,329,102,262,2
1522979255.png,253,377,127,307,2
