image_name,xmin,xmax,ymin,ymax,class_id
1530139473.png,388,568,95,335,5
1530139454.png,228,408,78,318,5
1530138919.png,229,337,126,270,5
1530139676.png,273,453,132,332,5
1530140290.png,273,373,162,296,5
1530140148.png,279,403,70,262,5
1530139386.png,243,363,175,303,5
1530138873.png,222,322,124,304,5
1530139397.png,222,342,159,287,5
1530140192.png,180,372,75,291,5
1530138955.png,256,376,128,308,5
1530138951.png,285,405,135,315,5
1530139384.png,277,397,174,302,5
1530139071.png,341,431,140,284,5
1530138912.png,200,308,138,282,5
1530138923.png,209,317,158,302,5
1530140315.png,199,399,100,324,5
1530140267.png,285,357,145,241,5
1530139496.png,297,477,104,284,5
1530140142.png,233,357,57,249,5
1530140265.png,263,335,130,226,5
1530139075.png,334,424,137,281,5
1530138942.png,237,357,132,312,5
1530140195.png,226,418,73,289,5
1530140205.png,277,427,84,264,5
1530139802.png,253,377,107,299,5
1530139381.png,220,340,162,290,5
1530139073.png,314,404,128,272,5
1530138976.png,266,356,151,285,5
1530138922.png,249,357,140,284,5
1530140128.png,203,419,39,295,5
1530138950.png,289,409,138,318,5
1530138985.png,208,298,164,298,5
1530140314.png,196,396,93,317,5
1530139468.png,295,475,76,316,5
1530139499.png,322,502,121,301,5
1530139337.png,241,361,162,322,5
1530139021.png,289,409,161,341,5
1530139458.png,234,414,82,322,5
1530140153.png,285,409,76,268,5
1530139424.png,182,398,72,296,5
1530139379.png,225,345,191,319,5
1530138938.png,207,327,133,313,5
1530138899.png,256,364,136,280,5
1530140191.png,192,384,85,301,5
1530139333.png,233,353,170,330,5
1530140284.png,233,333,153,287,5
1530139035.png,205,325,149,329,5
1530140207.png,287,437,97,277,5
1530140235.png,299,459,114,276,5
1530138954.png,289,409,145,325,5
1530139569.png,258,438,39,309,5
1530140076.png,208,448,53,323,5
1530140150.png,263,387,70,262,5
1530138946.png,267,387,159,339,5
1530139799.png,248,372,95,287,5
1530138900.png,242,350,137,281,5
1530139392.png,292,412,164,292,5
1530139708.png,192,384,36,324,5
1530139565.png,251,431,44,314,5
1530140318.png,210,410,99,323,5
1530138897.png,224,332,130,274,5
1530139545.png,183,363,59,329,5
1530139463.png,276,456,74,314,5
1530138936.png,191,311,126,306,5
1530139419.png,192,408,103,327,5
1530139566.png,262,442,44,314,5
1530140071.png,159,399,52,322,5
1530140092.png,205,365,81,297,5
1530140162.png,358,482,96,288,5
1530139556.png,268,448,56,326,5
1530139731.png,218,398,100,316,5
1530138917.png,217,325,145,289,5
1530140124.png,170,386,41,297,5
1530139056.png,237,327,106,250,5
1530139380.png,221,341,184,312,5
1530140206.png,282,432,85,265,5
1530140324.png,269,469,89,313,5
1530139344.png,248,368,166,326,5
1530138858.png,176,276,128,308,5
1530139505.png,407,587,120,300,5
1530138901.png,217,325,144,288,5
1530139801.png,275,399,106,298,5
1530139342.png,257,377,162,322,5
1530140271.png,304,376,140,236,5
1530138875.png,232,332,110,290,5
1530140075.png,200,440,41,311,5
1530140319.png,187,387,87,311,5
1530139595.png,256,390,11,281,5
1530139604.png,263,397,40,310,5
1530139570.png,272,452,32,302,5
1530140326.png,292,492,72,296,5
1530139349.png,233,353,139,299,5
1530140131.png,106,322,35,291,5
1530139339.png,256,376,171,331,5
