image_name,xmin,xmax,ymin,ymax,class_id
1522981662.png,169,313,247,347,4
1522981489.png,229,337,139,273,4
1522981034.png,252,342,132,240,4
1522981583.png,315,449,215,343,4
1522981050.png,281,371,177,285,4
1522981488.png,214,322,135,269,4
1522981048.png,256,346,107,215,4
1522981525.png,228,408,159,283,4
1522981617.png,194,338,215,315,4
1522981445.png,212,392,160,304,4
1522981527.png,195,375,164,288,4
1522981686.png,164,308,254,354,4
1522981424.png,168,348,153,297,4
1522981389.png,179,359,163,297,4
1522981502.png,198,306,158,292,4
1522981657.png,249,393,266,366,4
1522981476.png,255,363,149,283,4
1522981664.png,205,349,221,321,4
1522981656.png,242,386,274,374,4
1522981059.png,257,347,158,266,4
1522981404.png,145,325,208,342,4
1522981443.png,203,383,192,336,4
1522981533.png,243,423,189,313,4
1522981303.png,281,389,205,301,4
1522981687.png,169,313,257,357,4
1522981320.png,216,324,193,289,4
1522981308.png,295,403,185,281,4
1522981038.png,241,331,159,267,4
1522980994.png,238,328,141,249,4
1522981368.png,231,375,172,292,4
1522981409.png,182,362,178,312,4
1522981646.png,194,338,226,326,4
1522981501.png,181,289,159,293,4
1522981431.png,225,405,186,330,4
1522981586.png,201,335,191,319,4
1522981612.png,239,383,224,324,4
1522980991.png,252,342,158,266,4
1522981386.png,203,383,175,309,4
1522981370.png,233,377,172,292,4
1522981521.png,215,395,196,320,4
1522981055.png,257,347,165,273,4
1522981632.png,267,411,240,340,4
1522981298.png,235,343,187,283,4
1522981406.png,221,401,166,300,4
1522981539.png,158,338,164,288,4
1522981685.png,164,308,224,324,4
1522981483.png,229,337,182,316,4
1522981042.png,246,336,149,257,4
1522981025.png,271,361,156,264,4
1522981638.png,246,390,213,313,4
1522980992.png,247,337,158,266,4
1522981276.png,284,392,223,319,4
1522981039.png,209,299,152,260,4
1522981046.png,253,343,132,240,4
1522981660.png,182,326,240,340,4
1522981561.png,260,368,189,309,4
1522981311.png,226,334,195,291,4
1522981618.png,212,356,190,290,4
1522981509.png,242,422,162,286,4
