image_name,xmin,xmax,ymin,ymax,class_id
1530142747.png,205,447,119,319,8
1530143740.png,197,453,138,318,8
1530141991.png,233,521,78,294,8
1530142158.png,261,477,94,294,8
1530143524.png,193,435,95,287,8
1530143405.png,290,530,74,290,8
1530143383.png,338,562,110,290,8
1530142353.png,247,347,59,283,8
1530143408.png,308,548,58,274,8
1530143530.png,256,498,112,304,8
1530141960.png,331,491,71,263,8
1530142021.png,175,475,98,278,8
1530143918.png,191,479,69,261,8
1530142762.png,245,485,46,286,8
1530143724.png,192,432,75,219,8
1530142749.png,213,455,114,314,8
1530143385.png,349,573,94,274,8
1530142050.png,278,438,80,320,8
1530141924.png,110,470,116,296,8
1530142366.png,146,362,76,292,8
1530142224.png,197,597,88,280,8
1530142390.png,83,443,75,255,8
1530143419.png,304,504,80,272,8
1530143920.png,193,481,70,262,8
1530142409.png,135,405,148,276,8
1530142024.png,167,467,84,264,8
1530143404.png,290,530,79,295,8
1530142053.png,269,429,97,337,8
1530142029.png,174,474,131,311,8
1530142027.png,179,479,107,287,8
1530142246.png,290,482,147,275,8
1530142227.png,189,589,92,284,8
1530142598.png,178,466,97,313,8
1530142186.png,282,522,99,291,8
1530142048.png,283,443,62,302,8
1530143502.png,247,439,207,331,8
1530141963.png,304,464,62,254,8
1530143753.png,194,450,54,234,8
1530143977.png,113,473,125,253,8
1530142140.png,193,417,51,275,8
1530142055.png,270,430,109,349,8
1530142115.png,180,436,71,195,8
1530142386.png,92,452,64,244,8
1530142389.png,81,441,78,258,8
1530142164.png,302,518,98,298,8
1530142138.png,211,435,37,261,8
1530143942.png,174,494,82,262,8
1530143910.png,195,483,71,263,8
1530143369.png,370,610,54,254,8
1530143721.png,177,417,68,212,8
1530142770.png,169,409,90,330,8
1530143387.png,349,573,77,257,8
1530142225.png,201,601,84,276,8
1530142590.png,131,419,70,286,8
1530142139.png,201,425,47,271,8
1530142090.png,180,436,58,208,8
1530143423.png,378,578,110,302,8
1530142249.png,287,479,180,308,8
1530143963.png,190,510,89,269,8
1530142052.png,266,426,100,340,8
1530143943.png,176,496,58,238,8
1530142437.png,165,485,105,305,8
1530143392.png,339,563,62,242,8
1530143421.png,323,523,71,263,8
1530142394.png,87,447,79,259,8
1530143359.png,254,494,110,310,8
1530142219.png,153,553,94,286,8
1530143872.png,221,401,66,200,8
1530143965.png,179,499,56,236,8
