image_name,xmin,xmax,ymin,ymax,class_id
1522960477.png,333,453,149,269,1
1522960478.png,294,414,154,274,1
1522960479.png,286,406,181,301,1
1522960480.png,314,434,190,310,1
1522960485.png,311,401,140,264,1
1522960486.png,272,362,163,287,1
1522960487.png,265,355,154,278,1
1522960488.png,264,354,158,282,1
1522960491.png,240,340,135,279,1
1522960492.png,276,376,130,274,1
1522960493.png,278,378,134,278,1
1522960494.png,268,368,135,279,1
1522960495.png,293,393,140,284,1
1522960496.png,276,376,133,277,1
1522960497.png,257,357,129,273,1
1522960498.png,253,353,139,283,1
1522960499.png,250,350,139,283,1
1522960500.png,233,333,149,293,1
1522960501.png,231,331,149,293,1
1522960502.png,239,339,149,293,1
1522960503.png,256,356,150,294,1
1522960504.png,277,377,138,282,1
1522960505.png,275,375,136,280,1
1522960506.png,269,369,139,283,1
1522960507.png,274,374,144,288,1
1522960508.png,273,373,142,286,1
1522960509.png,276,376,139,283,1
1522960510.png,273,373,151,295,1
1522960511.png,274,374,147,291,1
1522960512.png,279,379,140,284,1
1522960513.png,279,379,143,287,1
1522960514.png,272,372,142,286,1
1522960515.png,256,356,147,291,1
1522960516.png,266,366,141,285,1
1522960517.png,274,374,155,299,1
1522960518.png,272,372,139,283,1
1522960519.png,257,357,124,268,1
1522960520.png,266,366,139,283,1
1522960521.png,284,384,149,293,1
1522960522.png,266,366,148,292,1
1522960523.png,254,354,142,286,1
1522960524.png,261,361,138,282,1
1522960525.png,286,386,136,280,1
1522960526.png,287,387,155,299,1
1522960527.png,310,410,162,306,1
1522973566.png,378,458,98,218,1
1522973567.png,259,339,109,229,1
1522973568.png,244,324,97,217,1
1522973569.png,234,314,97,217,1
1522973570.png,241,321,104,224,1
1522973571.png,223,303,88,208,1
1522973572.png,194,274,102,222,1
1522973573.png,236,316,106,226,1
1522973574.png,264,344,86,206,1
1522973575.png,253,333,97,217,1
1522973576.png,242,322,82,202,1
1522973577.png,248,328,93,213,1
1522973578.png,299,379,92,212,1
1522973579.png,274,354,85,205,1
1522973580.png,260,340,91,211,1
1522973581.png,235,315,110,230,1
1522973582.png,216,296,89,209,1
1522973583.png,167,247,108,228,1
1522973584.png,199,279,89,209,1
1522973585.png,198,278,81,201,1
1522973586.png,232,312,91,211,1
1522973587.png,257,337,92,212,1
1522973588.png,266,346,96,216,1
1522973589.png,260,340,108,228,1
1522973631.png,375,503,84,300,1
1522973632.png,175,303,72,288,1
1522973633.png,197,325,56,272,1
1522973634.png,235,363,65,281,1
1522973635.png,180,308,77,293,1
1522973636.png,188,316,37,253,1
1522973637.png,194,322,80,296,1
1522973638.png,229,357,94,310,1
1522973639.png,214,342,69,285,1
1522973640.png,194,322,66,282,1
1522973641.png,126,254,55,271,1
1522973642.png,190,318,61,277,1
1522973643.png,241,369,56,272,1
1522973644.png,244,372,63,279,1
1522973645.png,233,361,83,299,1
1522973646.png,235,363,47,263,1
1522973647.png,229,357,61,277,1
1522973648.png,218,346,90,306,1
1522973649.png,206,334,90,306,1
1522973650.png,210,338,95,311,1
1522973670.png,195,295,101,251,1
1522973671.png,234,334,91,241,1
1522973672.png,247,347,95,245,1
1522973673.png,273,373,106,256,1
1522973674.png,267,367,73,223,1
1522973675.png,240,340,76,226,1
1522973676.png,218,318,89,239,1
1522973677.png,219,319,90,240,1
1522973678.png,212,312,104,254,1
1522973679.png,196,296,107,257,1
1522973680.png,218,318,94,244,1
1522973681.png,197,297,97,247,1
1522973682.png,207,307,96,246,1
1522973683.png,252,352,71,221,1
1522973684.png,234,334,71,221,1
1522973685.png,220,320,64,214,1
1522973686.png,198,298,68,218,1
1522973687.png,217,317,68,218,1
1522973688.png,240,340,79,229,1
1522973689.png,262,362,86,236,1
1522973690.png,289,389,74,224,1
1522973691.png,292,392,73,223,1
1522973692.png,190,290,106,256,1
1522973693.png,143,243,103,253,1
1522973694.png,268,368,66,216,1
1522973695.png,311,411,86,236,1
1522973696.png,284,384,87,237,1
1522973697.png,218,318,80,230,1
1522973698.png,171,271,72,222,1
1522973699.png,142,242,90,240,1
1522973700.png,166,266,97,247,1
1522973701.png,204,304,84,234,1
1522973702.png,206,306,96,246,1
1522973703.png,178,278,70,220,1
1522973704.png,201,301,92,242,1
1522973705.png,246,346,90,240,1
1522973706.png,283,383,113,263,1
1522973707.png,268,368,55,205,1
1522973708.png,269,369,87,237,1
1522973725.png,330,390,134,206,1
1522973726.png,308,368,122,194,1
1522973727.png,286,346,118,190,1
1522973728.png,286,346,125,197,1
1522973729.png,296,356,119,191,1
1522973730.png,294,354,112,184,1
1522973731.png,261,321,110,182,1
1522973732.png,237,297,129,201,1
1522973733.png,210,270,126,198,1
1522973734.png,267,327,125,197,1
1522973735.png,266,326,126,198,1
