image_name,xmin,xmax,ymin,ymax,class_id
1522982139.png,192,301,199,318,3
1522982140.png,224,332,202,310,3
1522982141.png,226,334,200,308,3
1522982142.png,230,338,189,297,3
1522982143.png,186,277,190,278,3
1522982144.png,183,291,182,290,3
1522982145.png,198,306,187,295,3
1522982146.png,193,301,195,303,3
1522982147.png,184,292,200,308,3
1522982148.png,235,317,182,280,3
1522982149.png,229,337,158,266,3
1522982150.png,204,312,163,271,3
1522982151.png,171,279,194,302,3
1522982152.png,213,305,189,287,3
1522982153.png,221,329,165,273,3
1522982154.png,211,319,166,274,3
1522982155.png,234,332,175,283,3
1522982156.png,235,343,171,279,3
1522982157.png,251,369,189,309,3
1522982158.png,273,384,201,321,3
1522982159.png,296,404,195,313,3
1522982160.png,293,401,201,319,3
1522982179.png,413,557,172,306,3
1522982180.png,236,380,191,355,3
1522982181.png,221,365,212,346,3
1522982182.png,232,376,234,358,3
1522982183.png,227,371,256,358,3
1522982184.png,224,368,243,359,3
1522982185.png,227,371,239,358,3
1522982186.png,231,375,263,359,3
1522982187.png,218,352,211,320,3
1522982188.png,211,335,156,270,3
1522982189.png,198,335,192,316,3
1522982190.png,217,361,196,330,3
1522982191.png,232,376,215,349,3
1522982192.png,252,396,234,368,3
1522982193.png,211,355,194,331,3
1522982194.png,158,284,214,348,3
1522982195.png,159,283,209,323,3
1522982196.png,230,340,197,301,3
1522982197.png,215,359,183,317,3
1522982198.png,190,334,188,322,3
1522982199.png,213,347,192,326,3
1522982200.png,228,372,191,325,3
1522982201.png,203,347,201,335,3
1522982202.png,192,336,193,327,3
1522982203.png,203,337,209,343,3
1522982204.png,199,333,219,353,3
1522982205.png,193,317,219,353,3
1522982206.png,194,318,214,348,3
1522982207.png,242,321,219,335,3
1522982208.png,263,367,184,291,3
1522982209.png,286,380,173,287,3
1522982216.png,352,442,199,289,3
1522982217.png,316,406,199,289,3
1522982218.png,324,414,204,294,3
1522982219.png,355,445,203,293,3
1522982220.png,326,416,208,304,3
1522982221.png,232,331,198,288,3
1522982222.png,195,289,209,299,3
1522982223.png,198,288,205,314,3
1522982224.png,222,312,213,313,3
1522982225.png,224,314,231,321,3
1522982226.png,255,345,204,304,3
1522982227.png,271,361,204,294,3
1522982228.png,184,273,208,306,3
1522982229.png,181,308,207,314,3
1522982230.png,206,306,212,319,3
1522982231.png,185,291,231,346,3
1522982232.png,174,289,210,330,3
1522982233.png,254,364,180,298,3
1522982234.png,271,371,201,319,3
1522982235.png,246,351,208,313,3
1522982236.png,252,352,222,322,3
1522982237.png,226,326,213,303,3
1522982238.png,252,352,215,305,3
1522982239.png,270,370,201,309,3
1522982240.png,267,367,212,302,3
1522982241.png,259,359,200,310,3
1522982242.png,234,324,238,328,3
1522982243.png,218,305,230,327,3
1522982244.png,217,312,215,305,3
1522982265.png,270,347,248,348,3
1522982266.png,278,350,248,347,3
1522982273.png,217,298,273,357,3
1522982274.png,220,318,275,359,3
1522982275.png,250,337,263,347,3
1522982278.png,220,304,242,342,3
1522982295.png,292,412,220,351,3
1522982298.png,289,410,240,350,3
1522982299.png,271,391,223,331,3
1522982300.png,256,376,197,325,3
1522982301.png,259,379,208,332,3
1522982302.png,261,381,221,345,3
1522982303.png,202,352,230,358,3
1522982304.png,181,331,239,357,3
1522982305.png,159,309,279,359,3
1522982306.png,150,286,247,359,3
1522982307.png,237,359,242,358,3
1522982308.png,257,378,237,355,3
1522982309.png,220,350,219,337,3
1522982325.png,179,312,232,352,3
1522982326.png,197,317,250,359,3
1522982327.png,174,294,260,359,3
1522982328.png,184,304,236,358,3
1522982329.png,258,378,197,317,3
1522982330.png,269,382,207,327,3
1522982331.png,235,348,207,327,3
1522982332.png,191,291,197,294,3
1522982333.png,215,308,190,295,3
1522982350.png,250,494,80,335,3
1522982351.png,135,327,134,314,3
1522982352.png,155,397,117,347,3
1522982353.png,236,458,105,325,3
1522982354.png,236,458,147,357,3
1522982355.png,275,467,139,319,3
1522982356.png,335,527,134,314,3
1522982357.png,280,588,17,357,3
1522982358.png,250,518,1,152,3
1522982399.png,195,320,142,286,3
1522982400.png,179,299,149,283,3
1522982401.png,215,338,145,279,3
1522982402.png,224,344,122,266,3
1522982403.png,193,313,134,278,3
1522982404.png,197,317,113,257,3
1522982405.png,196,296,144,268,3
1522982406.png,207,322,117,251,3
1522982407.png,215,335,120,234,3
1522982408.png,183,293,135,269,3
1522982409.png,190,310,104,258,3
1522982410.png,196,314,105,249,3
1522982411.png,204,348,148,312,3
1522982412.png,185,325,174,318,3
1522982413.png,212,356,151,295,3
1522982414.png,221,352,119,273,3
1522982425.png,261,381,116,260,3
1522982426.png,252,392,106,270,3
1522982427.png,274,394,93,237,3
1522982428.png,290,410,86,230,3
1522982429.png,280,400,105,256,3
1522982430.png,264,384,101,245,3
1522982431.png,263,383,106,250,3
1522982432.png,271,391,88,232,3
1522982614.png,343,477,222,356,3
1522982615.png,282,406,222,356,3
1522982616.png,244,378,225,359,3
1522982617.png,249,383,229,359,3
1522982618.png,267,401,214,348,3
1522982619.png,267,401,226,360,3
1522982620.png,270,404,225,359,3
1522982621.png,253,387,223,357,3
1522982622.png,235,369,223,357,3
1522982623.png,238,372,237,359,3
1522982624.png,209,333,234,358,3
1522982625.png,172,306,223,347,3
1522982626.png,191,315,227,351,3
1522982627.png,201,335,223,357,3
1522982628.png,226,340,212,326,3
1522982629.png,241,375,183,306,3
1522982630.png,262,396,209,343,3
1522982631.png,272,406,178,312,3
1522982632.png,269,403,208,342,3
1522982633.png,250,384,238,359,3
1522982634.png,274,408,214,348,3
1522982635.png,249,383,241,340,3
1522982636.png,270,404,187,321,3
