image_name,xmin,xmax,ymin,ymax,class_id
1522980988.png,209,299,155,263,4
1522980989.png,235,325,154,262,4
1522980990.png,257,347,153,261,4
1522980991.png,252,342,158,266,4
1522980992.png,247,337,158,266,4
1522980993.png,249,339,155,263,4
1522980994.png,238,328,141,249,4
1522980995.png,209,299,164,272,4
1522980996.png,206,296,169,277,4
1522980997.png,191,281,151,259,4
1522980998.png,219,309,166,274,4
1522980999.png,233,323,168,276,4
1522981000.png,241,331,172,280,4
1522981001.png,236,326,170,278,4
1522981002.png,211,301,157,265,4
1522981003.png,214,304,154,262,4
1522981004.png,228,318,156,264,4
1522981005.png,230,320,146,254,4
1522981006.png,221,311,149,257,4
1522981007.png,267,357,148,256,4
1522981008.png,268,358,138,246,4
1522981009.png,268,358,171,279,4
1522981010.png,286,376,158,266,4
1522981011.png,274,364,169,277,4
1522981012.png,258,348,169,277,4
1522981013.png,240,330,162,270,4
1522981014.png,249,339,163,271,4
1522981015.png,269,359,164,272,4
1522981016.png,307,397,156,264,4
1522981017.png,319,409,154,262,4
1522981018.png,271,361,148,256,4
1522981019.png,212,302,155,263,4
1522981020.png,219,309,164,272,4
1522981021.png,260,350,155,263,4
1522981022.png,294,384,156,264,4
1522981023.png,291,381,152,260,4
1522981024.png,278,368,145,253,4
1522981025.png,271,361,156,264,4
1522981026.png,273,363,161,269,4
1522981027.png,296,386,154,262,4
1522981028.png,312,402,150,258,4
1522981029.png,308,398,149,257,4
1522981030.png,283,373,142,250,4
1522981031.png,235,325,153,261,4
1522981032.png,193,283,169,277,4
1522981033.png,229,319,148,256,4
1522981034.png,252,342,132,240,4
1522981035.png,252,342,140,248,4
1522981036.png,267,357,152,260,4
1522981037.png,254,344,152,260,4
1522981038.png,241,331,159,267,4
1522981039.png,209,299,152,260,4
1522981040.png,223,313,158,266,4
1522981041.png,240,330,149,257,4
1522981042.png,246,336,149,257,4
1522981043.png,266,356,155,263,4
1522981044.png,292,382,142,250,4
1522981045.png,279,369,145,253,4
1522981046.png,253,343,132,240,4
1522981047.png,239,329,140,248,4
1522981048.png,256,346,107,215,4
1522981049.png,287,377,194,302,4
1522981050.png,281,371,177,285,4
1522981051.png,288,378,154,262,4
1522981052.png,275,365,132,240,4
1522981053.png,257,347,166,274,4
1522981054.png,249,339,156,264,4
1522981055.png,257,347,165,273,4
1522981056.png,283,373,143,251,4
1522981057.png,314,404,159,267,4
1522981058.png,283,373,148,256,4
1522981059.png,257,347,158,266,4
1522981060.png,255,345,140,248,4
1522981276.png,284,392,223,319,4
1522981277.png,279,387,227,323,4
1522981278.png,285,393,231,327,4
1522981279.png,269,377,208,304,4
1522981280.png,265,373,235,331,4
1522981281.png,274,382,222,318,4
1522981282.png,277,385,179,275,4
1522981283.png,263,371,183,279,4
1522981284.png,254,362,251,347,4
1522981285.png,273,381,229,325,4
1522981286.png,268,376,226,322,4
1522981287.png,265,373,219,315,4
1522981288.png,240,348,242,338,4
1522981289.png,195,303,224,320,4
1522981290.png,195,303,220,316,4
1522981291.png,240,348,197,293,4
1522981292.png,227,335,213,309,4
1522981293.png,216,324,231,327,4
1522981294.png,202,310,226,322,4
1522981295.png,214,322,196,292,4
1522981296.png,181,289,219,315,4
1522981297.png,217,325,211,307,4
1522981298.png,235,343,187,283,4
1522981299.png,204,312,213,309,4
1522981300.png,245,353,235,331,4
1522981301.png,306,414,239,335,4
1522981302.png,316,424,226,322,4
1522981303.png,281,389,205,301,4
1522981304.png,250,358,205,301,4
1522981305.png,264,372,189,285,4
1522981306.png,322,430,217,313,4
1522981307.png,368,476,221,317,4
1522981308.png,295,403,185,281,4
1522981309.png,216,324,182,278,4
1522981310.png,216,324,196,292,4
1522981311.png,226,334,195,291,4
1522981312.png,270,378,255,351,4
1522981313.png,285,393,224,320,4
1522981314.png,289,397,228,324,4
1522981315.png,286,394,231,327,4
1522981316.png,200,308,224,320,4
1522981317.png,205,313,199,295,4
1522981318.png,240,348,196,292,4
1522981319.png,204,312,210,306,4
1522981320.png,216,324,193,289,4
1522981321.png,235,343,195,291,4
1522981322.png,254,362,282,378,4
1522981323.png,295,403,174,270,4
1522981324.png,274,382,206,302,4
1522981325.png,257,365,209,305,4
1522981326.png,273,381,211,307,4
1522981327.png,262,370,175,271,4
1522981328.png,271,379,235,331,4
1522981329.png,281,389,222,318,4
1522981330.png,239,347,228,324,4
1522981331.png,218,326,224,320,4
1522981332.png,220,328,225,321,4
1522981367.png,251,395,172,292,4
1522981368.png,231,375,172,292,4
1522981369.png,233,377,180,300,4
1522981370.png,233,377,172,292,4
1522981371.png,241,385,172,292,4
1522981372.png,268,412,184,304,4
1522981373.png,266,410,167,287,4
1522981374.png,266,410,215,335,4
1522981385.png,111,291,174,308,4
1522981386.png,203,383,175,309,4
1522981387.png,270,450,178,312,4
1522981388.png,257,437,161,295,4
1522981389.png,179,359,163,297,4
1522981390.png,159,339,170,304,4
1522981391.png,154,334,159,293,4
1522981392.png,137,317,148,282,4
1522981393.png,133,313,167,301,4
1522981394.png,200,380,164,298,4
1522981395.png,196,376,162,296,4
1522981396.png,174,354,155,289,4
1522981397.png,192,372,159,293,4
1522981398.png,221,401,172,306,4
1522981399.png,211,391,171,305,4
1522981400.png,207,387,177,311,4
1522981401.png,210,390,164,298,4
1522981402.png,173,353,182,316,4
1522981403.png,145,325,192,326,4
1522981404.png,145,325,208,342,4
1522981405.png,156,336,187,321,4
1522981406.png,221,401,166,300,4
1522981407.png,248,428,149,283,4
1522981408.png,190,370,177,311,4
1522981409.png,182,362,178,312,4
1522981410.png,195,375,162,296,4
1522981411.png,187,367,191,325,4
1522981412.png,200,380,189,323,4
1522981418.png,150,330,165,309,4
1522981419.png,189,369,172,316,4
1522981420.png,242,422,174,318,4
1522981421.png,240,420,166,310,4
1522981422.png,205,385,170,314,4
1522981423.png,163,343,173,317,4
1522981424.png,168,348,153,297,4
1522981425.png,215,395,108,252,4
1522981426.png,250,430,163,307,4
1522981427.png,226,406,142,286,4
1522981428.png,231,411,172,316,4
1522981429.png,231,411,146,290,4
1522981430.png,245,425,134,278,4
1522981431.png,225,405,186,330,4
1522981432.png,247,427,179,323,4
1522981433.png,231,411,164,308,4
1522981434.png,237,417,170,314,4
1522981435.png,234,414,169,313,4
1522981436.png,246,426,164,308,4
1522981437.png,221,401,167,311,4
1522981438.png,217,397,155,299,4
1522981439.png,231,411,168,312,4
1522981440.png,229,409,154,298,4
1522981441.png,248,428,176,320,4
1522981442.png,195,375,174,318,4
1522981443.png,203,383,192,336,4
1522981444.png,207,387,181,325,4
1522981445.png,212,392,160,304,4
1522981446.png,203,383,160,304,4
1522981447.png,196,376,170,314,4
1522981448.png,197,377,157,301,4
1522981462.png,133,257,186,314,4
1522981463.png,230,354,193,321,4
1522981464.png,239,363,160,288,4
1522981474.png,217,325,164,298,4
1522981475.png,247,355,165,299,4
1522981476.png,255,363,149,283,4
1522981477.png,218,326,150,284,4
1522981478.png,165,273,178,312,4
1522981479.png,227,335,181,315,4
1522981480.png,232,340,140,274,4
1522981481.png,224,332,142,276,4
1522981482.png,219,327,165,299,4
1522981483.png,229,337,182,316,4
1522981484.png,228,336,188,322,4
1522981485.png,228,336,191,325,4
1522981486.png,225,333,162,296,4
1522981487.png,208,316,147,281,4
1522981488.png,214,322,135,269,4
1522981489.png,229,337,139,273,4
1522981490.png,262,370,153,287,4
1522981491.png,226,334,155,289,4
1522981492.png,164,272,163,297,4
1522981493.png,182,290,182,316,4
1522981494.png,230,338,162,296,4
1522981495.png,242,350,139,273,4
1522981496.png,246,354,162,296,4
1522981497.png,227,335,166,300,4
1522981498.png,234,342,147,281,4
1522981499.png,245,353,158,292,4
1522981500.png,218,326,161,295,4
1522981501.png,181,289,159,293,4
1522981502.png,198,306,158,292,4
1522981507.png,177,357,176,300,4
1522981508.png,189,369,177,301,4
1522981509.png,242,422,162,286,4
1522981510.png,236,416,144,268,4
1522981511.png,236,416,142,266,4
1522981512.png,196,376,166,290,4
1522981513.png,223,403,164,288,4
1522981514.png,244,424,196,320,4
1522981515.png,242,422,128,252,4
1522981516.png,231,411,130,254,4
1522981517.png,182,362,167,291,4
1522981518.png,197,377,162,286,4
1522981519.png,225,405,175,299,4
1522981520.png,242,422,172,296,4
1522981521.png,215,395,196,320,4
1522981522.png,191,371,170,294,4
1522981523.png,215,395,157,281,4
1522981524.png,237,417,145,269,4
1522981525.png,228,408,159,283,4
1522981526.png,239,419,150,274,4
1522981527.png,195,375,164,288,4
1522981528.png,165,345,171,295,4
1522981529.png,150,330,177,301,4
1522981530.png,140,320,196,320,4
1522981531.png,223,403,158,282,4
1522981532.png,255,435,163,287,4
1522981533.png,243,423,189,313,4
1522981534.png,246,426,192,316,4
