image_name,xmin,xmax,ymin,ymax,class_id
1522979201.png,247,397,21,219,7
1530144317.png,207,327,65,261,7
1530144318.png,209,329,63,259,7
1530144319.png,227,357,50,256,7
1530144320.png,257,387,59,255,7
1530144321.png,293,433,73,269,7
1530144322.png,302,422,81,277,7
1530144323.png,291,411,50,266,7
1530144324.png,312,432,66,282,7
1530144325.png,315,435,77,293,7
1530144326.png,317,437,88,294,7
1530144327.png,319,459,86,302,7
1530144328.png,326,446,109,325,7
1530144329.png,320,440,96,312,7
1530144330.png,320,440,97,313,7
1530144331.png,324,444,94,320,7
1530144332.png,323,443,89,305,7
1530144333.png,337,457,84,300,7
1530144334.png,325,445,94,310,7
1530144335.png,311,431,90,306,7
1530144336.png,303,423,96,312,7
1530144337.png,281,401,97,313,7
1530144338.png,266,386,111,327,7
1530144365.png,292,442,69,289,7
1530144366.png,282,422,72,292,7
1530144367.png,280,420,71,291,7
1530144368.png,296,416,74,294,7
1530144369.png,268,418,69,299,7
1530144370.png,252,382,75,305,7
1530144371.png,246,376,80,310,7
1530144372.png,224,354,78,308,7
1530144373.png,225,355,84,314,7
1530144374.png,223,353,87,307,7
1530144375.png,203,343,80,320,7
1530144376.png,245,375,74,314,7
1530144377.png,245,395,65,305,7
1530144378.png,239,389,68,308,7
1530144379.png,196,356,58,308,7
1530144392.png,233,377,86,316,7
1530144393.png,252,396,74,324,7
1530144394.png,230,364,63,313,7
1530144395.png,194,338,64,314,7
1530144396.png,176,320,69,319,7
1530144397.png,148,292,76,326,7
1530144398.png,156,330,76,316,7
1530144399.png,241,405,69,319,7
1530144400.png,287,451,73,313,7
1530144401.png,290,434,75,325,7
1530144402.png,272,416,72,322,7
1530144403.png,256,400,73,323,7
1530144404.png,224,368,81,331,7
1530144405.png,225,369,75,325,7
1530144406.png,198,342,68,318,7
1530144415.png,204,384,62,292,7
1530144416.png,213,363,46,286,7
1530144417.png,160,340,40,290,7
1530144418.png,162,332,45,295,7
1530144419.png,157,307,48,298,7
1530144420.png,102,282,56,306,7
1530144421.png,145,305,53,303,7
1530144422.png,145,315,44,294,7
1530144423.png,140,310,45,295,7
1530144424.png,146,316,39,289,7
1530144425.png,140,320,39,289,7
1530144426.png,140,320,34,284,7
1530144427.png,142,322,41,281,7
1530144428.png,143,323,31,281,7
1530144429.png,153,323,45,285,7
1530144430.png,149,329,41,291,7
1530144431.png,161,331,40,290,7
1530144432.png,160,340,38,288,7
1530144433.png,160,340,40,290,7
1530144434.png,162,342,40,290,7
1530144435.png,164,344,41,291,7
1530144436.png,167,347,44,294,7
1530144437.png,170,350,43,293,7
1530144438.png,171,351,41,291,7
1530144439.png,174,354,40,290,7
1530144440.png,177,357,43,293,7
1530144458.png,272,416,78,268,7
1530144459.png,271,415,78,268,7
1530144460.png,310,434,76,266,7
1530144461.png,313,457,84,284,7
1530144462.png,313,457,73,273,7
1530144463.png,337,481,69,269,7
1530144464.png,340,484,68,268,7
1530144465.png,328,462,73,273,7
1530144466.png,337,471,84,284,7
1530144467.png,347,491,52,252,7
1530144468.png,351,495,62,262,7
1530144469.png,335,479,43,243,7
1530144470.png,339,463,52,252,7
1530144471.png,316,460,45,245,7
1530144472.png,327,471,39,239,7
1530144473.png,348,492,47,247,7
1530144474.png,348,492,27,227,7
1530144475.png,348,492,43,243,7
1530144476.png,326,470,48,248,7
1530144477.png,344,468,54,254,7
1530144478.png,353,467,62,262,7
1530144479.png,331,475,54,254,7
1530144480.png,355,469,64,244,7
1530144481.png,345,489,49,249,7
1530144482.png,367,471,77,247,7
1530144483.png,368,482,70,260,7
1530144484.png,366,470,73,243,7
1530144485.png,371,485,97,257,7
1530144486.png,404,518,84,234,7
1530144487.png,402,506,81,221,7
1530144498.png,354,444,81,243,7
1530144499.png,363,453,92,244,7
1530144500.png,339,429,82,214,7
1530144501.png,339,429,75,237,7
1530144502.png,367,457,73,235,7
1530144503.png,385,475,95,247,7
1530144504.png,403,473,108,270,7
1530144505.png,410,500,109,271,7
1530144506.png,451,541,100,262,7
1530144507.png,476,556,117,279,7
1530144508.png,464,554,111,263,7
1530144509.png,409,519,97,259,7
1530144510.png,429,519,91,253,7
1530144511.png,401,491,99,251,7
1530144512.png,422,512,108,270,7
1530144513.png,429,519,107,269,7
1530144525.png,355,445,80,240,7
1530144526.png,351,441,60,240,7
1530144527.png,297,397,68,228,7
1530144528.png,310,410,77,237,7
1530144529.png,323,423,74,244,7
1530144530.png,344,454,63,243,7
1530144531.png,362,452,72,252,7
1530144532.png,372,462,67,247,7
1530144533.png,402,502,89,259,7
1530144534.png,402,512,77,257,7
1530144535.png,422,512,77,257,7
1530144536.png,409,529,74,254,7
1530144537.png,439,529,82,262,7
1530144538.png,431,521,81,261,7
1530144539.png,452,542,98,278,7
1530144540.png,401,541,90,270,7
1530144541.png,309,439,78,258,7
1530144542.png,252,372,78,258,7
1530144543.png,200,320,74,254,7
1530144544.png,216,326,88,268,7
1530144545.png,179,319,125,275,7
1530144546.png,269,359,95,275,7
1530144547.png,249,369,85,265,7
1530144569.png,272,392,70,250,7
1530144570.png,271,371,70,250,7
1530144571.png,244,344,96,256,7
1530144572.png,238,358,83,233,7
1530144573.png,248,348,84,254,7
1530144574.png,269,379,87,247,7
1530144575.png,277,397,80,260,7
1530144576.png,332,452,91,251,7
1530144577.png,311,441,92,252,7
1530144578.png,304,424,86,236,7
1530144579.png,283,403,67,247,7
1530144580.png,308,408,89,229,7
1530144581.png,328,448,88,238,7
1530144582.png,296,406,84,224,7
1530144583.png,284,404,72,212,7
1530144584.png,287,387,93,243,7
1530144585.png,285,405,98,258,7
1530144586.png,289,409,96,266,7
1530144587.png,299,419,91,251,7
1530144588.png,300,420,81,241,7
1530144589.png,330,450,104,254,7
1530144590.png,292,402,103,253,7
1530144591.png,300,420,90,230,7
1530144592.png,330,430,104,254,7
1530144593.png,327,447,88,268,7
1530144850.png,175,295,107,267,7
1530144851.png,175,295,109,269,7
1530144852.png,189,309,115,265,7
1530144853.png,181,271,107,267,7
1530144854.png,180,290,100,260,7
1530144855.png,196,316,111,271,7
1530144856.png,193,293,124,284,7
1530144857.png,201,321,125,285,7
1530144858.png,217,337,128,288,7
1530144859.png,226,346,132,292,7
1530144860.png,238,328,112,272,7
1530144861.png,217,337,131,281,7
1530144862.png,246,346,129,289,7
1530144863.png,251,351,131,291,7
1530144864.png,290,410,133,293,7
1530144865.png,247,367,125,285,7
1530144866.png,281,381,130,290,7
1530144867.png,259,379,132,272,7
1530144868.png,265,385,156,286,7
1530144869.png,256,356,129,259,7
1530144870.png,273,383,115,275,7
1530144871.png,278,398,116,276,7
1530144872.png,273,353,119,239,7
1530144873.png,284,334,128,258,7
1530144874.png,260,380,119,279,7
1530144875.png,260,360,149,289,7
1530144876.png,249,339,146,306,7
1530144877.png,309,409,112,262,7
1530144878.png,317,437,134,274,7
1530144879.png,336,426,118,258,7
1530144880.png,339,419,146,266,7
1530144881.png,291,381,121,281,7
1530144882.png,274,394,130,270,7
1530144899.png,251,351,67,253,7
1530144900.png,250,350,66,262,7
1530144901.png,273,373,41,237,7
1530144902.png,290,420,80,296,7
1530144903.png,292,422,64,270,7
1530144904.png,307,407,71,287,7
1530144905.png,322,422,71,287,7
1530144906.png,310,410,87,303,7
1530144907.png,283,383,108,304,7
1530144908.png,242,372,107,303,7
1530144909.png,264,364,109,305,7
1530144910.png,263,363,76,282,7
1530144911.png,266,366,70,286,7
1530144912.png,255,355,76,292,7
1530144913.png,251,381,62,288,7
1530144914.png,274,404,67,283,7
1530144915.png,309,409,74,310,7
1530144916.png,302,402,79,285,7
1530144917.png,330,430,84,300,7
1530144945.png,263,463,65,305,7
1530144946.png,263,463,68,308,7
1530144947.png,258,458,55,295,7
1530144948.png,257,457,68,308,7
1530144949.png,255,455,33,273,7
1530144950.png,298,498,57,287,7
1530144951.png,311,511,71,311,7
1530144952.png,292,492,64,304,7
1530144953.png,257,457,42,262,7
1530144954.png,253,453,52,292,7
1530144955.png,252,432,55,275,7
1530144956.png,232,432,52,292,7
1530144957.png,203,403,56,296,7
1530144958.png,206,406,68,308,7
1530144959.png,224,424,97,337,7
1530144960.png,232,432,86,336,7
1530144961.png,244,444,84,324,7
1530144962.png,230,430,67,307,7
1530144963.png,253,453,82,322,7
1530144983.png,213,437,40,340,7
1530144984.png,212,436,39,339,7
