image_name,xmin,xmax,ymin,ymax,class_id
1530141908.png,113,473,74,254,8
1530141909.png,108,468,66,246,8
1530141910.png,136,496,79,259,8
1530141911.png,159,489,71,251,8
1530141912.png,155,515,90,270,8
1530141913.png,152,512,96,276,8
1530141914.png,154,514,96,276,8
1530141915.png,143,483,85,265,8
1530141916.png,146,506,103,283,8
1530141917.png,144,504,109,289,8
1530141918.png,145,505,115,295,8
1530141919.png,150,490,96,276,8
1530141920.png,157,517,115,295,8
1530141921.png,152,492,118,298,8
1530141922.png,146,506,116,296,8
1530141923.png,112,472,122,302,8
1530141924.png,110,470,116,296,8
1530141925.png,142,472,108,288,8
1530141926.png,155,495,112,292,8
1530141927.png,154,494,118,298,8
1530141928.png,121,481,143,323,8
1530141929.png,172,502,130,310,8
1530141930.png,163,523,124,304,8
1530141931.png,202,532,93,283,8
1530141932.png,185,475,111,291,8
1530141933.png,186,486,118,298,8
1530141934.png,187,477,136,316,8
1530141935.png,184,514,142,322,8
1530141936.png,211,491,127,307,8
1530141937.png,205,485,128,308,8
1530141938.png,206,476,133,313,8
1530141939.png,222,492,128,308,8
1530141959.png,336,496,69,261,8
1530141960.png,331,491,71,263,8
1530141961.png,318,478,59,251,8
1530141962.png,295,455,52,244,8
1530141963.png,304,464,62,254,8
1530141964.png,305,465,70,262,8
1530141965.png,303,463,89,281,8
1530141966.png,283,443,61,253,8
1530141967.png,275,435,77,269,8
1530141968.png,266,426,74,266,8
1530141969.png,254,414,73,265,8
1530141970.png,245,405,69,261,8
1530141971.png,238,398,64,256,8
1530141984.png,207,495,66,282,8
1530141985.png,207,495,62,278,8
1530141986.png,202,490,70,286,8
1530141987.png,220,508,63,279,8
1530141988.png,241,529,93,309,8
1530141989.png,238,526,74,290,8
1530141990.png,227,515,85,301,8
1530141991.png,233,521,78,294,8
1530141992.png,226,514,91,307,8
1530141993.png,215,503,93,309,8
1530141994.png,218,506,112,328,8
1530141995.png,186,474,95,311,8
1530141996.png,181,469,73,289,8
1530141997.png,167,455,82,298,8
1530141998.png,134,422,53,269,8
1530142017.png,174,474,84,264,8
1530142018.png,179,479,83,263,8
1530142019.png,165,465,91,271,8
1530142020.png,164,464,96,276,8
1530142021.png,175,475,98,278,8
1530142022.png,167,467,83,263,8
1530142023.png,172,472,86,266,8
1530142024.png,167,467,84,264,8
1530142025.png,191,491,101,281,8
1530142026.png,181,481,120,300,8
1530142027.png,179,479,107,287,8
1530142028.png,182,482,121,301,8
1530142029.png,174,474,131,311,8
1530142030.png,181,481,125,305,8
1530142031.png,168,468,121,301,8
1530142032.png,143,443,126,306,8
1530142033.png,139,439,100,280,8
1530142034.png,150,450,94,274,8
1530142043.png,259,419,52,292,8
1530142044.png,268,428,55,295,8
1530142045.png,289,449,56,296,8
1530142046.png,294,454,51,291,8
1530142047.png,295,455,56,296,8
1530142048.png,283,443,62,302,8
1530142049.png,285,445,79,319,8
1530142050.png,278,438,80,320,8
1530142051.png,280,440,87,327,8
1530142052.png,266,426,100,340,8
1530142053.png,269,429,97,337,8
1530142054.png,275,435,112,352,8
1530142055.png,270,430,109,349,8
1530142056.png,261,421,86,326,8
1530142057.png,268,428,68,308,8
1530142058.png,277,437,94,334,8
1530142089.png,179,435,64,214,8
1530142090.png,180,436,58,208,8
1530142091.png,170,426,54,204,8
1530142092.png,143,399,51,201,8
1530142093.png,128,384,61,211,8
1530142094.png,133,389,55,205,8
1530142095.png,133,389,54,204,8
1530142096.png,151,407,53,203,8
1530142097.png,192,448,52,202,8
1530142108.png,181,437,83,207,8
1530142109.png,184,440,80,204,8
1530142110.png,179,435,75,199,8
1530142111.png,169,425,69,193,8
1530142112.png,165,421,84,208,8
1530142113.png,173,429,74,198,8
1530142114.png,194,450,72,196,8
1530142115.png,180,436,71,195,8
1530142116.png,173,429,76,200,8
1530142117.png,178,434,81,205,8
1530142133.png,188,412,26,250,8
1530142134.png,193,417,18,242,8
1530142135.png,165,389,3,218,8
1530142136.png,170,394,39,233,8
1530142137.png,174,398,35,259,8
1530142138.png,211,435,37,261,8
1530142139.png,201,425,47,271,8
1530142140.png,173,417,51,275,8
1530142141.png,199,423,49,273,8
1530142142.png,205,429,49,273,8
1530142158.png,261,477,94,294,8
1530142159.png,252,468,93,293,8
1530142160.png,271,487,113,313,8
1530142161.png,282,498,94,294,8
1530142162.png,305,521,96,296,8
1530142163.png,285,501,100,300,8
1530142164.png,302,518,98,298,8
1530142165.png,322,538,92,292,8
1530142166.png,317,523,108,308,8
1530142167.png,247,453,109,309,8
1530142168.png,248,464,107,307,8
1530142181.png,240,480,105,297,8
1530142182.png,246,486,110,302,8
1530142183.png,240,480,120,312,8
1530142184.png,266,506,111,303,8
1530142185.png,278,518,117,309,8
1530142186.png,282,522,99,291,8
1530142187.png,291,531,98,290,8
1530142188.png,290,530,83,275,8
1530142189.png,297,537,85,277,8
1530142190.png,298,538,89,281,8
1530142191.png,307,547,76,268,8
1530142219.png,183,553,94,286,8
1530142220.png,188,558,83,275,8
1530142221.png,185,565,80,272,8
1530142222.png,186,566,79,271,8
1530142223.png,176,576,87,279,8
1530142224.png,237,597,88,280,8
1530142225.png,271,601,84,276,8
1530142226.png,236,566,99,291,8
1530142227.png,229,589,92,284,8
1530142228.png,254,594,113,305,8
1530142243.png,247,439,137,265,8
1530142244.png,245,437,135,263,8
1530142245.png,279,471,138,266,8
1530142246.png,290,482,147,275,8
1530142247.png,292,484,147,275,8
1530142248.png,273,465,191,319,8
1530142249.png,287,479,180,308,8
1530142250.png,309,501,136,264,8
1530142251.png,309,501,148,276,8
1530142267.png,262,478,114,294,8
1530142268.png,262,478,113,293,8
1530142269.png,262,478,111,291,8
1530142270.png,261,477,141,321,8
1530142271.png,251,467,111,291,8
1530142272.png,244,460,123,303,8
1530142273.png,213,429,146,306,8
1530142274.png,205,421,133,313,8
1530142275.png,212,428,134,314,8
1530142276.png,222,438,128,288,8
1530142277.png,237,453,138,318,8
1530142278.png,234,450,130,280,8
1530142321.png,242,562,150,330,8
1530142322.png,239,559,152,332,8
1530142323.png,239,559,141,321,8
1530142324.png,232,552,144,324,8
1530142334.png,215,455,91,283,8
1530142335.png,218,458,83,275,8
1530142336.png,212,452,100,292,8
1530142337.png,223,463,88,280,8
1530142338.png,222,462,91,283,8
1530142339.png,221,461,84,276,8
1530142340.png,220,460,72,264,8
1530142351.png,253,353,53,277,8
1530142352.png,251,351,52,276,8
1530142353.png,247,347,59,283,8
1530142354.png,256,356,58,282,8
1530142355.png,195,325,71,295,8
1530142356.png,282,412,61,285,8
1530142357.png,312,432,71,295,8
1530142365.png,145,361,74,290,8
1530142366.png,146,362,76,292,8
1530142367.png,137,353,90,306,8
1530142368.png,159,375,76,292,8
1530142369.png,158,374,59,275,8
1530142370.png,160,376,95,311,8
1530142371.png,170,386,114,330,8
1530142372.png,142,358,90,306,8
1530142373.png,122,338,52,268,8
1530142386.png,92,452,64,244,8
1530142387.png,85,445,73,253,8
1530142388.png,83,403,67,247,8
1530142389.png,81,401,78,258,8
1530142390.png,83,403,75,255,8
1530142391.png,80,400,72,252,8
1530142392.png,77,397,80,260,8
1530142393.png,79,399,79,229,8
1530142394.png,87,407,79,259,8
1530142406.png,122,392,151,279,8
1530142407.png,135,405,141,269,8
1530142408.png,128,398,155,283,8
1530142409.png,135,405,148,276,8
1530142410.png,141,411,154,282,8
1530142433.png,179,499,91,291,8
1530142434.png,174,494,85,285,8
1530142435.png,174,494,97,297,8
1530142436.png,177,497,87,287,8
1530142437.png,165,485,105,305,8
1530142438.png,172,492,93,293,8
1530142439.png,183,503,80,280,8
1530142554.png,181,421,102,222,8
1530142555.png,183,423,105,225,8
1530142556.png,170,410,114,234,8
1530142557.png,172,412,110,230,8
1530142558.png,187,427,127,247,8
1530142559.png,166,406,132,252,8
1530142565.png,175,445,122,282,8
1530142566.png,173,443,122,282,8
1530142567.png,166,436,123,283,8
1530142568.png,174,444,134,294,8
1530142569.png,166,436,143,303,8
1530142570.png,167,437,139,299,8
1530142571.png,196,466,140,300,8
1530142572.png,229,499,141,301,8
1530142573.png,235,505,151,311,8
1530142588.png,129,417,72,288,8
1530142589.png,133,421,69,285,8
1530142590.png,131,419,70,286,8
1530142591.png,140,428,60,276,8
1530142592.png,136,424,58,274,8
1530142593.png,143,431,61,277,8
1530142594.png,153,441,67,283,8
1530142595.png,153,441,76,292,8
1530142596.png,202,490,109,325,8
1530142597.png,196,484,103,319,8
1530142598.png,178,466,97,313,8
1530142599.png,198,486,98,314,8
1530142600.png,208,496,135,351,8
1530142601.png,164,452,105,321,8
1530142608.png,106,480,113,273,8
1530142609.png,106,480,110,270,8
1530142746.png,212,454,116,316,8
1530142747.png,205,447,119,319,8
1530142748.png,206,448,110,310,8
1530142749.png,213,455,114,314,8
1530142750.png,205,447,113,313,8
1530142751.png,203,445,89,289,8
1530142760.png,256,496,53,293,8
1530142761.png,249,489,53,293,8
1530142762.png,245,485,46,286,8
1530142763.png,239,479,55,295,8
1530142764.png,230,470,48,288,8
1530142765.png,231,471,61,301,8
1530142766.png,254,494,17,257,8
1530142767.png,243,483,63,303,8
1530142768.png,226,466,83,323,8
1530142769.png,186,426,50,290,8
1530142770.png,169,409,90,330,8
1530142771.png,160,400,85,325,8
1530143137.png,147,467,103,319,8
1530143138.png,141,461,114,330,8
1530143139.png,117,437,101,317,8
1530143140.png,145,465,166,382,8
1530143141.png,170,490,146,362,8
1530143142.png,170,490,120,336,8
1530143143.png,191,511,123,339,8
1530143358.png,268,508,101,301,8
1530143359.png,254,494,110,310,8
1530143360.png,256,496,107,307,8
1530143361.png,293,533,59,259,8
1530143362.png,316,556,125,325,8
1530143363.png,339,579,99,299,8
1530143364.png,331,571,79,279,8
1530143365.png,336,576,118,318,8
1530143366.png,346,586,89,289,8
1530143367.png,358,598,108,308,8
1530143368.png,357,597,86,286,8
1530143369.png,370,610,54,254,8
1530143383.png,338,562,110,290,8
1530143384.png,340,564,102,282,8
1530143385.png,349,573,94,274,8
1530143386.png,352,576,92,272,8
