filename,xmin,xmax,ymin,ymax,class_id
1530139473.png,388,568,95,335,Robot
1530139454.png,228,408,78,318,Robot
1530138919.png,229,337,126,270,Robot
1530139676.png,273,453,132,332,Robot
1530140290.png,273,373,162,296,Robot
1530140148.png,279,403,70,262,Robot
1530139386.png,243,363,175,303,Robot
1530138873.png,222,322,124,304,Robot
1530139397.png,222,342,159,287,Robot
1530140192.png,180,372,75,291,Robot
1530138955.png,256,376,128,308,Robot
1530138951.png,285,405,135,315,Robot
1530139384.png,277,397,174,302,Robot
1530139071.png,341,431,140,284,Robot
1530138912.png,200,308,138,282,Robot
1530138923.png,209,317,158,302,Robot
1530140315.png,199,399,100,324,Robot
1530140267.png,285,357,145,241,Robot
1530139496.png,297,477,104,284,Robot
1530140142.png,233,357,57,249,Robot
1530140265.png,263,335,130,226,Robot
1530139075.png,334,424,137,281,Robot
1530138942.png,237,357,132,312,Robot
1530140195.png,226,418,73,289,Robot
1530140205.png,277,427,84,264,Robot
1530139802.png,253,377,107,299,Robot
1530139381.png,220,340,162,290,Robot
1530139073.png,314,404,128,272,Robot
1530138976.png,266,356,151,285,Robot
1530138922.png,249,357,140,284,Robot
1530140128.png,203,419,39,295,Robot
1530138950.png,289,409,138,318,Robot
1530138985.png,208,298,164,298,Robot
1530140314.png,196,396,93,317,Robot
1530139468.png,295,475,76,316,Robot
1530139499.png,322,502,121,301,Robot
1530139337.png,241,361,162,322,Robot
1530139021.png,289,409,161,341,Robot
1530139458.png,234,414,82,322,Robot
1530140153.png,285,409,76,268,Robot
1530139424.png,182,398,72,296,Robot
1530139379.png,225,345,191,319,Robot
1530138938.png,207,327,133,313,Robot
1530138899.png,256,364,136,280,Robot
1530140191.png,192,384,85,301,Robot
1530139333.png,233,353,170,330,Robot
1530140284.png,233,333,153,287,Robot
1530139035.png,205,325,149,329,Robot
1530140207.png,287,437,97,277,Robot
1530140235.png,299,459,114,276,Robot
1530138954.png,289,409,145,325,Robot
1530139569.png,258,438,39,309,Robot
1530140076.png,208,448,53,323,Robot
1530140150.png,263,387,70,262,Robot
1530138946.png,267,387,159,339,Robot
1530139799.png,248,372,95,287,Robot
1530138900.png,242,350,137,281,Robot
1530139392.png,292,412,164,292,Robot
1530139708.png,192,384,36,324,Robot
1530139565.png,251,431,44,314,Robot
1530140318.png,210,410,99,323,Robot
1530138897.png,224,332,130,274,Robot
