filename,xmin,xmax,ymin,ymax,class_id
1530142747.png,205,447,119,319,UAV
1530143740.png,197,453,138,318,UAV
1530141991.png,233,521,78,294,UAV
1530142158.png,261,477,94,294,UAV
1530143524.png,193,435,95,287,UAV
1530143405.png,290,530,74,290,UAV
1530143383.png,338,562,110,290,UAV
1530142353.png,247,347,59,283,UAV
1530143408.png,308,548,58,274,UAV
1530143530.png,256,498,112,304,UAV
1530141960.png,331,491,71,263,UAV
1530142021.png,175,475,98,278,UAV
1530143918.png,191,479,69,261,UAV
1530142762.png,245,485,46,286,UAV
1530143724.png,192,432,75,219,UAV
1530142749.png,213,455,114,314,UAV
1530143385.png,349,573,94,274,UAV
1530142050.png,278,438,80,320,UAV
1530141924.png,110,470,116,296,UAV
1530142366.png,146,362,76,292,UAV
1530142224.png,197,597,88,280,UAV
1530142390.png,83,443,75,255,UAV
1530143419.png,304,504,80,272,UAV
1530143920.png,193,481,70,262,UAV
1530142409.png,135,405,148,276,UAV
1530142024.png,167,467,84,264,UAV
1530143404.png,290,530,79,295,UAV
1530142053.png,269,429,97,337,UAV
1530142029.png,174,474,131,311,UAV
1530142027.png,179,479,107,287,UAV
1530142246.png,290,482,147,275,UAV
1530142227.png,189,589,92,284,UAV
1530142598.png,178,466,97,313,UAV
1530142186.png,282,522,99,291,UAV
1530142048.png,283,443,62,302,UAV
1530143502.png,247,439,207,331,UAV
1530141963.png,304,464,62,254,UAV
1530143753.png,194,450,54,234,UAV
1530143977.png,113,473,125,253,UAV
1530142140.png,193,417,51,275,UAV
1530142055.png,270,430,109,349,UAV
1530142115.png,180,436,71,195,UAV
1530142386.png,92,452,64,244,UAV
1530142389.png,81,441,78,258,UAV
1530142164.png,302,518,98,298,UAV
1530142138.png,211,435,37,261,UAV
1530143942.png,174,494,82,262,UAV
1530143910.png,195,483,71,263,UAV
1530143369.png,370,610,54,254,UAV
1530143721.png,177,417,68,212,UAV
1530142770.png,169,409,90,330,UAV
1530143387.png,349,573,77,257,UAV
1530142225.png,201,601,84,276,UAV
1530142590.png,131,419,70,286,UAV
1530142139.png,201,425,47,271,UAV
1530142090.png,180,436,58,208,UAV
1530143423.png,378,578,110,302,UAV
1530142249.png,287,479,180,308,UAV
1530143963.png,190,510,89,269,UAV
1530142052.png,266,426,100,340,UAV
1530143943.png,176,496,58,238,UAV
1530142437.png,165,485,105,305,UAV
1530143392.png,339,563,62,242,UAV
1530143421.png,323,523,71,263,UAV
1530142394.png,87,447,79,259,UAV
1530143359.png,254,494,110,310,UAV
1530142219.png,153,553,94,286,UAV
1530143872.png,221,401,66,200,UAV
1530143965.png,179,499,56,236,UAV
1530141968.png,266,426,74,266,UAV
1530142028.png,182,482,121,301,UAV
1530143141.png,170,490,146,362,UAV
1530141984.png,207,495,66,282,UAV
1530143446.png,348,492,90,214,UAV
1530143962.png,184,504,79,259,UAV
1530143422.png,331,531,111,303,UAV
1530142388.png,83,443,67,247,UAV
1530143948.png,179,499,79,259,UAV
1530142438.png,172,492,93,293,UAV
1530143442.png,380,524,100,224,UAV
1530142020.png,164,464,96,276,UAV
1530143510.png,195,387,118,242,UAV
1530143531.png,259,501,102,294,UAV
1530142163.png,285,501,100,300,UAV
1530143499.png,270,462,199,323,UAV
1530142031.png,168,468,121,301,UAV
1530142250.png,309,501,136,264,UAV
1530142267.png,262,478,114,294,UAV
1530142334.png,215,455,91,283,UAV
1530143978.png,123,483,131,259,UAV
1530142568.png,174,444,134,294,UAV
1530143507.png,180,372,217,341,UAV
1530143140.png,145,465,166,382,UAV
1530141921.png,132,492,118,298,UAV
1530143902.png,83,371,61,253,UAV
1530142228.png,194,594,113,305,UAV
1530141910.png,136,496,79,259,UAV
1530142591.png,140,428,60,276,UAV
1530142034.png,150,450,94,274,UAV
1530141937.png,175,535,128,308,UAV
1530141966.png,283,443,61,253,UAV
1530142594.png,153,441,67,283,UAV
1530142243.png,247,439,137,265,UAV
1530143917.png,193,481,65,257,UAV
1530142182.png,246,486,110,302,UAV
1530143911.png,184,472,65,257,UAV
1530143746.png,185,441,85,265,UAV
1530141916.png,146,506,103,283,UAV
1530141985.png,207,495,62,278,UAV
1530142019.png,165,465,91,271,UAV
1530142369.png,158,374,59,275,UAV
1530143752.png,193,449,50,230,UAV
1530143391.png,327,551,82,262,UAV
1530143912.png,183,471,58,250,UAV
1530142567.png,166,436,123,283,UAV
1530141928.png,121,481,143,323,UAV
1530143722.png,185,425,67,211,UAV
1530142433.png,179,499,91,291,UAV
1530143984.png,126,486,109,237,UAV
1530142270.png,261,477,141,321,UAV
1530142220.png,158,558,83,275,UAV
1530143503.png,218,410,196,320,UAV
1530143364.png,331,571,79,279,UAV
1530143742.png,204,460,129,309,UAV
1530143441.png,367,511,114,238,UAV
1530141923.png,112,472,122,302,UAV
1530143990.png,131,515,101,325,UAV
1530143388.png,333,557,87,267,UAV
1530143365.png,336,576,118,318,UAV
1530142357.png,312,412,71,295,UAV
1530142096.png,151,407,53,203,UAV
1530143981.png,85,445,44,172,UAV
1530141964.png,305,465,70,262,UAV
1530142556.png,170,410,114,234,UAV
1530141990.png,227,515,85,301,UAV
1530141911.png,129,489,71,251,UAV
1530143907.png,186,474,88,280,UAV
1530142571.png,196,466,140,300,UAV
1530142089.png,179,435,64,214,UAV
1530142226.png,196,596,99,291,UAV
1530143747.png,179,435,70,250,UAV
1530143879.png,205,385,100,234,UAV
1530143688.png,140,440,29,285,UAV
1530141996.png,181,469,73,289,UAV
