image_name,xmin,xmax,ymin,ymax,class_id
1532745149.png,220,299,70,127,9
1532745150.png,221,296,71,124,9
1532745161.png,176,259,133,196,9
1532745162.png,185,267,130,185,9
1532745163.png,209,289,130,189,9
1532745164.png,222,299,138,202,9
1532745165.png,231,310,141,211,9
1532745166.png,242,322,141,201,9
1532745167.png,191,279,141,213,9
1532745168.png,196,284,124,192,9
1532745169.png,146,237,121,198,9
1532745174.png,182,279,122,203,9
1532745175.png,187,288,107,176,9
1532745176.png,119,218,86,154,9
1532745177.png,77,163,85,156,9
1532745178.png,144,251,90,167,9
1532745179.png,158,264,87,159,9
1532745180.png,154,265,77,158,9
1532745181.png,186,297,84,167,9
1532745182.png,187,297,81,157,9
1532745452.png,264,456,82,206,9
1532745453.png,249,441,76,200,9
1532745454.png,237,429,76,200,9
1532745455.png,239,414,80,209,9
1532745456.png,245,437,81,205,9
1532745460.png,246,428,94,208,9
1532745461.png,238,440,97,221,9
1532745462.png,219,381,109,213,9
1532745463.png,206,398,87,211,9
1532745464.png,198,376,112,236,9
1532745465.png,183,345,106,210,9
1532745466.png,197,389,92,216,9
1532745467.png,202,384,137,261,9
1532745468.png,193,375,132,256,9
1532745469.png,204,386,135,269,9
1532745470.png,235,427,128,252,9
1532745471.png,225,417,106,230,9
1532745476.png,256,468,69,205,9
1532745477.png,237,429,121,245,9
1532745478.png,223,415,95,219,9
1532745479.png,231,423,137,261,9
1532745480.png,276,468,120,234,9
1532745481.png,286,488,124,248,9
1532745482.png,283,485,106,240,9
1532745483.png,260,462,132,266,9
1532745484.png,280,472,160,284,9
1532745485.png,295,497,102,236,9
1532745486.png,242,464,111,255,9
1532745487.png,212,404,101,225,9
1532745488.png,196,388,121,215,9
1532745489.png,210,402,120,244,9
1532745490.png,201,393,134,258,9
1532745491.png,195,387,121,245,9
1532745492.png,190,382,133,257,9
1532745525.png,243,435,94,218,9
1532745526.png,224,426,80,206,9
1532745527.png,233,425,71,195,9
1532745530.png,250,422,106,220,9
1532745531.png,226,418,79,203,9
1532745532.png,224,416,60,184,9
1532745533.png,204,396,112,236,9
1532745534.png,254,416,109,213,9
1532745535.png,212,388,74,188,9
1532745556.png,257,377,141,213,9
1532745557.png,262,382,122,191,9
1532745558.png,276,396,136,194,9
1532745559.png,304,424,125,191,9
1532745560.png,305,425,163,245,9
1532745561.png,300,410,145,217,9
1532745562.png,313,433,177,249,9
1532745563.png,286,416,154,226,9
1532745564.png,282,402,116,188,9
1532745565.png,269,389,137,209,9
1532745566.png,266,386,144,216,9
1532745571.png,324,444,148,220,9
1532745572.png,314,454,110,192,9
1532745573.png,343,463,155,238,9
1532745574.png,267,419,152,244,9
1532745575.png,276,408,142,224,9
1532745576.png,304,434,112,194,9
1532745577.png,271,411,150,242,9
1532745578.png,299,419,142,214,9
1532745579.png,322,442,114,206,9
1532745608.png,247,427,127,247,9
1532745609.png,262,442,154,264,9
1532745610.png,244,424,102,222,9
1532745611.png,228,408,95,200,9
1532745614.png,291,441,144,244,9
1532745615.png,295,475,155,275,9
1532745616.png,323,477,152,252,9
1532745617.png,344,504,170,270,9
1532745618.png,363,523,144,244,9
1532745619.png,310,480,145,265,9
1532745620.png,301,491,136,246,9
1532745626.png,241,461,70,200,9
1532745627.png,230,430,62,202,9
1532745628.png,290,480,87,207,9
1532745991.png,296,440,178,258,9
1532745992.png,298,442,170,250,9
1532745999.png,304,418,163,253,9
1532746000.png,298,432,142,232,9
1532746008.png,388,522,120,210,9
1532746009.png,271,418,106,206,9
1532746010.png,299,423,121,211,9
1532746011.png,263,375,125,205,9
1532746012.png,266,386,130,200,9
1532746013.png,255,379,142,212,9
1532746014.png,226,340,106,186,9
1532746015.png,192,323,148,228,9
1532746016.png,182,306,140,220,9
1532746017.png,166,280,145,225,9
1532746018.png,147,281,149,239,9
1532746019.png,148,272,137,227,9
1532746024.png,193,327,124,234,9
1532746025.png,235,349,77,169,9
1532746028.png,269,413,145,225,9
1532746029.png,259,382,174,254,9
1532746030.png,286,410,187,267,9
1532746031.png,291,415,156,236,9
1532746032.png,317,431,158,238,9
1532746033.png,322,446,154,234,9
1532746034.png,357,478,132,212,9
1532746035.png,278,412,158,238,9
1532746036.png,242,376,124,204,9
1532746037.png,247,371,133,213,9
1532746038.png,232,366,118,208,9
1532746039.png,229,373,135,215,9
1532746040.png,241,385,124,204,9
1532746041.png,239,383,118,198,9
1532746042.png,249,393,130,230,9
1532746043.png,238,372,120,200,9
1532746044.png,244,378,111,191,9
1532746045.png,233,377,92,172,9
1532746046.png,239,383,100,180,9
1532746047.png,251,385,66,146,9
1532746048.png,261,405,95,175,9
1532746049.png,253,377,144,234,9
1532746050.png,222,346,158,238,9
1532746051.png,240,374,152,232,9
1532746054.png,255,389,119,187,9
1532746055.png,278,402,148,228,9
1532746058.png,282,416,118,194,9
1532746059.png,284,428,154,234,9
1532746060.png,269,387,186,256,9
1532746061.png,299,413,168,238,9
1532746073.png,312,456,175,255,9
